,Claude Code,Lovable (builder tool),Replit,v0 / Bolt
repositories,2559,42264,2797,2776
date range,Jun 2024 to Sep 2026,Jun 2024 to Sep 2026,Sep 2011 to Sep 2026,Jun 2024 to Sep 2026
median stars,0.0,0.0,0.0,0.0
% zero stars,78.66354044548652,96.46744274086693,79.01322845906328,89.55331412103746
% no description,41.42243063696757,95.07382169222033,50.84018591347872,82.09654178674351
median days active,20.0,0.0,6.0,106.0
% published URL known,16.256350136772177,22.58186636380844,30.139435109045404,70.60518731988472
% of checked URLs live,83.73205741626795,80.53892215568862,31.59722222222222,81.18226600985221
